time_key,hour,minute,time_of_day_band,is_business_hour
0,0,0,night,FALSE
1,0,1,night,FALSE
2,0,2,night,FALSE
3,0,3,night,FALSE
4,0,4,night,FALSE
5,0,5,night,FALSE
6,0,6,night,FALSE
7,0,7,night,FALSE
8,0,8,night,FALSE
9,0,9,night,FALSE
10,0,10,night,FALSE
11,0,11,night,FALSE
12,0,12,night,FALSE
13,0,13,night,FALSE
14,0,14,night,FALSE
15,0,15,night,FALSE
16,0,16,night,FALSE
17,0,17,night,FALSE
18,0,18,night,FALSE
19,0,19,night,FALSE
20,0,20,night,FALSE
21,0,21,night,FALSE
22,0,22,night,FALSE
23,0,23,night,FALSE
24,0,24,night,FALSE
25,0,25,night,FALSE
26,0,26,night,FALSE
27,0,27,night,FALSE
28,0,28,night,FALSE
29,0,29,night,FALSE
30,0,30,night,FALSE
31,0,31,night,FALSE
32,0,32,night,FALSE
33,0,33,night,FALSE
34,0,34,night,FALSE
35,0,35,night,FALSE
36,0,36,night,FALSE
37,0,37,night,FALSE
38,0,38,night,FALSE
39,0,39,night,FALSE
40,0,40,night,FALSE
41,0,41,night,FALSE
42,0,42,night,FALSE
43,0,43,night,FALSE
44,0,44,night,FALSE
45,0,45,night,FALSE
46,0,46,night,FALSE
47,0,47,night,FALSE
48,0,48,night,FALSE
49,0,49,night,FALSE
50,0,50,night,FALSE
51,0,51,night,FALSE
52,0,52,night,FALSE
53,0,53,night,FALSE
54,0,54,night,FALSE
55,0,55,night,FALSE
56,0,56,night,FALSE
57,0,57,night,FALSE
58,0,58,night,FALSE
59,0,59,night,FALSE
100,1,0,night,FALSE
101,1,1,night,FALSE
102,1,2,night,FALSE
103,1,3,night,FALSE
104,1,4,night,FALSE
105,1,5,night,FALSE
106,1,6,night,FALSE
107,1,7,night,FALSE
108,1,8,night,FALSE
109,1,9,night,FALSE
110,1,10,night,FALSE
111,1,11,night,FALSE
112,1,12,night,FALSE
113,1,13,night,FALSE
114,1,14,night,FALSE
115,1,15,night,FALSE
116,1,16,night,FALSE
117,1,17,night,FALSE
118,1,18,night,FALSE
119,1,19,night,FALSE
120,1,20,night,FALSE
121,1,21,night,FALSE
122,1,22,night,FALSE
123,1,23,night,FALSE
124,1,24,night,FALSE
125,1,25,night,FALSE
126,1,26,night,FALSE
127,1,27,night,FALSE
128,1,28,night,FALSE
129,1,29,night,FALSE
130,1,30,night,FALSE
131,1,31,night,FALSE
132,1,32,night,FALSE
133,1,33,night,FALSE
134,1,34,night,FALSE
135,1,35,night,FALSE
136,1,36,night,FALSE
137,1,37,night,FALSE
138,1,38,night,FALSE
139,1,39,night,FALSE
140,1,40,night,FALSE
141,1,41,night,FALSE
142,1,42,night,FALSE
143,1,43,night,FALSE
144,1,44,night,FALSE
145,1,45,night,FALSE
146,1,46,night,FALSE
147,1,47,night,FALSE
148,1,48,night,FALSE
149,1,49,night,FALSE
150,1,50,night,FALSE
151,1,51,night,FALSE
152,1,52,night,FALSE
153,1,53,night,FALSE
154,1,54,night,FALSE
155,1,55,night,FALSE
156,1,56,night,FALSE
157,1,57,night,FALSE
158,1,58,night,FALSE
159,1,59,night,FALSE
200,2,0,night,FALSE
201,2,1,night,FALSE
202,2,2,night,FALSE
203,2,3,night,FALSE
204,2,4,night,FALSE
205,2,5,night,FALSE
206,2,6,night,FALSE
207,2,7,night,FALSE
208,2,8,night,FALSE
209,2,9,night,FALSE
210,2,10,night,FALSE
211,2,11,night,FALSE
212,2,12,night,FALSE
213,2,13,night,FALSE
214,2,14,night,FALSE
215,2,15,night,FALSE
216,2,16,night,FALSE
217,2,17,night,FALSE
218,2,18,night,FALSE
219,2,19,night,FALSE
220,2,20,night,FALSE
221,2,21,night,FALSE
222,2,22,night,FALSE
223,2,23,night,FALSE
224,2,24,night,FALSE
225,2,25,night,FALSE
226,2,26,night,FALSE
227,2,27,night,FALSE
228,2,28,night,FALSE
229,2,29,night,FALSE
230,2,30,night,FALSE
231,2,31,night,FALSE
232,2,32,night,FALSE
233,2,33,night,FALSE
234,2,34,night,FALSE
235,2,35,night,FALSE
236,2,36,night,FALSE
237,2,37,night,FALSE
238,2,38,night,FALSE
239,2,39,night,FALSE
240,2,40,night,FALSE
241,2,41,night,FALSE
242,2,42,night,FALSE
243,2,43,night,FALSE
244,2,44,night,FALSE
245,2,45,night,FALSE
246,2,46,night,FALSE
247,2,47,night,FALSE
248,2,48,night,FALSE
249,2,49,night,FALSE
250,2,50,night,FALSE
251,2,51,night,FALSE
252,2,52,night,FALSE
253,2,53,night,FALSE
254,2,54,night,FALSE
255,2,55,night,FALSE
256,2,56,night,FALSE
257,2,57,night,FALSE
258,2,58,night,FALSE
259,2,59,night,FALSE
300,3,0,night,FALSE
301,3,1,night,FALSE
302,3,2,night,FALSE
303,3,3,night,FALSE
304,3,4,night,FALSE
305,3,5,night,FALSE
306,3,6,night,FALSE
307,3,7,night,FALSE
308,3,8,night,FALSE
309,3,9,night,FALSE
310,3,10,night,FALSE
311,3,11,night,FALSE
312,3,12,night,FALSE
313,3,13,night,FALSE
314,3,14,night,FALSE
315,3,15,night,FALSE
316,3,16,night,FALSE
317,3,17,night,FALSE
318,3,18,night,FALSE
319,3,19,night,FALSE
320,3,20,night,FALSE
321,3,21,night,FALSE
322,3,22,night,FALSE
323,3,23,night,FALSE
324,3,24,night,FALSE
325,3,25,night,FALSE
326,3,26,night,FALSE
327,3,27,night,FALSE
328,3,28,night,FALSE
329,3,29,night,FALSE
330,3,30,night,FALSE
331,3,31,night,FALSE
332,3,32,night,FALSE
333,3,33,night,FALSE
334,3,34,night,FALSE
335,3,35,night,FALSE
336,3,36,night,FALSE
337,3,37,night,FALSE
338,3,38,night,FALSE
339,3,39,night,FALSE
340,3,40,night,FALSE
341,3,41,night,FALSE
342,3,42,night,FALSE
343,3,43,night,FALSE
344,3,44,night,FALSE
345,3,45,night,FALSE
346,3,46,night,FALSE
347,3,47,night,FALSE
348,3,48,night,FALSE
349,3,49,night,FALSE
350,3,50,night,FALSE
351,3,51,night,FALSE
352,3,52,night,FALSE
353,3,53,night,FALSE
354,3,54,night,FALSE
355,3,55,night,FALSE
356,3,56,night,FALSE
357,3,57,night,FALSE
358,3,58,night,FALSE
359,3,59,night,FALSE
400,4,0,night,FALSE
401,4,1,night,FALSE
402,4,2,night,FALSE
403,4,3,night,FALSE
404,4,4,night,FALSE
405,4,5,night,FALSE
406,4,6,night,FALSE
407,4,7,night,FALSE
408,4,8,night,FALSE
409,4,9,night,FALSE
410,4,10,night,FALSE
411,4,11,night,FALSE
412,4,12,night,FALSE
413,4,13,night,FALSE
414,4,14,night,FALSE
415,4,15,night,FALSE
416,4,16,night,FALSE
417,4,17,night,FALSE
418,4,18,night,FALSE
419,4,19,night,FALSE
420,4,20,night,FALSE
421,4,21,night,FALSE
422,4,22,night,FALSE
423,4,23,night,FALSE
424,4,24,night,FALSE
425,4,25,night,FALSE
426,4,26,night,FALSE
427,4,27,night,FALSE
428,4,28,night,FALSE
429,4,29,night,FALSE
430,4,30,night,FALSE
431,4,31,night,FALSE
432,4,32,night,FALSE
433,4,33,night,FALSE
434,4,34,night,FALSE
435,4,35,night,FALSE
436,4,36,night,FALSE
437,4,37,night,FALSE
438,4,38,night,FALSE
439,4,39,night,FALSE
440,4,40,night,FALSE
441,4,41,night,FALSE
442,4,42,night,FALSE
443,4,43,night,FALSE
444,4,44,night,FALSE
445,4,45,night,FALSE
446,4,46,night,FALSE
447,4,47,night,FALSE
448,4,48,night,FALSE
449,4,49,night,FALSE
450,4,50,night,FALSE
451,4,51,night,FALSE
452,4,52,night,FALSE
453,4,53,night,FALSE
454,4,54,night,FALSE
455,4,55,night,FALSE
456,4,56,night,FALSE
457,4,57,night,FALSE
458,4,58,night,FALSE
459,4,59,night,FALSE
500,5,0,night,FALSE
501,5,1,night,FALSE
502,5,2,night,FALSE
503,5,3,night,FALSE
504,5,4,night,FALSE
505,5,5,night,FALSE
506,5,6,night,FALSE
507,5,7,night,FALSE
508,5,8,night,FALSE
509,5,9,night,FALSE
510,5,10,night,FALSE
511,5,11,night,FALSE
512,5,12,night,FALSE
513,5,13,night,FALSE
514,5,14,night,FALSE
515,5,15,night,FALSE
516,5,16,night,FALSE
517,5,17,night,FALSE
518,5,18,night,FALSE
519,5,19,night,FALSE
520,5,20,night,FALSE
521,5,21,night,FALSE
522,5,22,night,FALSE
523,5,23,night,FALSE
524,5,24,night,FALSE
525,5,25,night,FALSE
526,5,26,night,FALSE
527,5,27,night,FALSE
528,5,28,night,FALSE
529,5,29,night,FALSE
530,5,30,night,FALSE
531,5,31,night,FALSE
532,5,32,night,FALSE
533,5,33,night,FALSE
534,5,34,night,FALSE
535,5,35,night,FALSE
536,5,36,night,FALSE
537,5,37,night,FALSE
538,5,38,night,FALSE
539,5,39,night,FALSE
540,5,40,night,FALSE
541,5,41,night,FALSE
542,5,42,night,FALSE
543,5,43,night,FALSE
544,5,44,night,FALSE
545,5,45,night,FALSE
546,5,46,night,FALSE
547,5,47,night,FALSE
548,5,48,night,FALSE
549,5,49,night,FALSE
550,5,50,night,FALSE
551,5,51,night,FALSE
552,5,52,night,FALSE
553,5,53,night,FALSE
554,5,54,night,FALSE
555,5,55,night,FALSE
556,5,56,night,FALSE
557,5,57,night,FALSE
558,5,58,night,FALSE
559,5,59,night,FALSE
600,6,0,morning,FALSE
601,6,1,morning,FALSE
602,6,2,morning,FALSE
603,6,3,morning,FALSE
604,6,4,morning,FALSE
605,6,5,morning,FALSE
606,6,6,morning,FALSE
607,6,7,morning,FALSE
608,6,8,morning,FALSE
609,6,9,morning,FALSE
610,6,10,morning,FALSE
611,6,11,morning,FALSE
612,6,12,morning,FALSE
613,6,13,morning,FALSE
614,6,14,morning,FALSE
615,6,15,morning,FALSE
616,6,16,morning,FALSE
617,6,17,morning,FALSE
618,6,18,morning,FALSE
619,6,19,morning,FALSE
620,6,20,morning,FALSE
621,6,21,morning,FALSE
622,6,22,morning,FALSE
623,6,23,morning,FALSE
624,6,24,morning,FALSE
625,6,25,morning,FALSE
626,6,26,morning,FALSE
627,6,27,morning,FALSE
628,6,28,morning,FALSE
629,6,29,morning,FALSE
630,6,30,morning,FALSE
631,6,31,morning,FALSE
632,6,32,morning,FALSE
633,6,33,morning,FALSE
634,6,34,morning,FALSE
635,6,35,morning,FALSE
636,6,36,morning,FALSE
637,6,37,morning,FALSE
638,6,38,morning,FALSE
639,6,39,morning,FALSE
640,6,40,morning,FALSE
641,6,41,morning,FALSE
642,6,42,morning,FALSE
643,6,43,morning,FALSE
644,6,44,morning,FALSE
645,6,45,morning,FALSE
646,6,46,morning,FALSE
647,6,47,morning,FALSE
648,6,48,morning,FALSE
649,6,49,morning,FALSE
650,6,50,morning,FALSE
651,6,51,morning,FALSE
652,6,52,morning,FALSE
653,6,53,morning,FALSE
654,6,54,morning,FALSE
655,6,55,morning,FALSE
656,6,56,morning,FALSE
657,6,57,morning,FALSE
658,6,58,morning,FALSE
659,6,59,morning,FALSE
700,7,0,morning,FALSE
701,7,1,morning,FALSE
702,7,2,morning,FALSE
703,7,3,morning,FALSE
704,7,4,morning,FALSE
705,7,5,morning,FALSE
706,7,6,morning,FALSE
707,7,7,morning,FALSE
708,7,8,morning,FALSE
709,7,9,morning,FALSE
710,7,10,morning,FALSE
711,7,11,morning,FALSE
712,7,12,morning,FALSE
713,7,13,morning,FALSE
714,7,14,morning,FALSE
715,7,15,morning,FALSE
716,7,16,morning,FALSE
717,7,17,morning,FALSE
718,7,18,morning,FALSE
719,7,19,morning,FALSE
720,7,20,morning,FALSE
721,7,21,morning,FALSE
722,7,22,morning,FALSE
723,7,23,morning,FALSE
724,7,24,morning,FALSE
725,7,25,morning,FALSE
726,7,26,morning,FALSE
727,7,27,morning,FALSE
728,7,28,morning,FALSE
729,7,29,morning,FALSE
730,7,30,morning,FALSE
731,7,31,morning,FALSE
732,7,32,morning,FALSE
733,7,33,morning,FALSE
734,7,34,morning,FALSE
735,7,35,morning,FALSE
736,7,36,morning,FALSE
737,7,37,morning,FALSE
738,7,38,morning,FALSE
739,7,39,morning,FALSE
740,7,40,morning,FALSE
741,7,41,morning,FALSE
742,7,42,morning,FALSE
743,7,43,morning,FALSE
744,7,44,morning,FALSE
745,7,45,morning,FALSE
746,7,46,morning,FALSE
747,7,47,morning,FALSE
748,7,48,morning,FALSE
749,7,49,morning,FALSE
750,7,50,morning,FALSE
751,7,51,morning,FALSE
752,7,52,morning,FALSE
753,7,53,morning,FALSE
754,7,54,morning,FALSE
755,7,55,morning,FALSE
756,7,56,morning,FALSE
757,7,57,morning,FALSE
758,7,58,morning,FALSE
759,7,59,morning,FALSE
800,8,0,morning,TRUE
801,8,1,morning,TRUE
802,8,2,morning,TRUE
803,8,3,morning,TRUE
804,8,4,morning,TRUE
805,8,5,morning,TRUE
806,8,6,morning,TRUE
807,8,7,morning,TRUE
808,8,8,morning,TRUE
809,8,9,morning,TRUE
810,8,10,morning,TRUE
811,8,11,morning,TRUE
812,8,12,morning,TRUE
813,8,13,morning,TRUE
814,8,14,morning,TRUE
815,8,15,morning,TRUE
816,8,16,morning,TRUE
817,8,17,morning,TRUE
818,8,18,morning,TRUE
819,8,19,morning,TRUE
820,8,20,morning,TRUE
821,8,21,morning,TRUE
822,8,22,morning,TRUE
823,8,23,morning,TRUE
824,8,24,morning,TRUE
825,8,25,morning,TRUE
826,8,26,morning,TRUE
827,8,27,morning,TRUE
828,8,28,morning,TRUE
829,8,29,morning,TRUE
830,8,30,morning,TRUE
831,8,31,morning,TRUE
832,8,32,morning,TRUE
833,8,33,morning,TRUE
834,8,34,morning,TRUE
835,8,35,morning,TRUE
836,8,36,morning,TRUE
837,8,37,morning,TRUE
838,8,38,morning,TRUE
839,8,39,morning,TRUE
840,8,40,morning,TRUE
841,8,41,morning,TRUE
842,8,42,morning,TRUE
843,8,43,morning,TRUE
844,8,44,morning,TRUE
845,8,45,morning,TRUE
846,8,46,morning,TRUE
847,8,47,morning,TRUE
848,8,48,morning,TRUE
849,8,49,morning,TRUE
850,8,50,morning,TRUE
851,8,51,morning,TRUE
852,8,52,morning,TRUE
853,8,53,morning,TRUE
854,8,54,morning,TRUE
855,8,55,morning,TRUE
856,8,56,morning,TRUE
857,8,57,morning,TRUE
858,8,58,morning,TRUE
859,8,59,morning,TRUE
900,9,0,morning,TRUE
901,9,1,morning,TRUE
902,9,2,morning,TRUE
903,9,3,morning,TRUE
904,9,4,morning,TRUE
905,9,5,morning,TRUE
906,9,6,morning,TRUE
907,9,7,morning,TRUE
908,9,8,morning,TRUE
909,9,9,morning,TRUE
910,9,10,morning,TRUE
911,9,11,morning,TRUE
912,9,12,morning,TRUE
913,9,13,morning,TRUE
914,9,14,morning,TRUE
915,9,15,morning,TRUE
916,9,16,morning,TRUE
917,9,17,morning,TRUE
918,9,18,morning,TRUE
919,9,19,morning,TRUE
920,9,20,morning,TRUE
921,9,21,morning,TRUE
922,9,22,morning,TRUE
923,9,23,morning,TRUE
924,9,24,morning,TRUE
925,9,25,morning,TRUE
926,9,26,morning,TRUE
927,9,27,morning,TRUE
928,9,28,morning,TRUE
929,9,29,morning,TRUE
930,9,30,morning,TRUE
931,9,31,morning,TRUE
932,9,32,morning,TRUE
933,9,33,morning,TRUE
934,9,34,morning,TRUE
935,9,35,morning,TRUE
936,9,36,morning,TRUE
937,9,37,morning,TRUE
938,9,38,morning,TRUE
939,9,39,morning,TRUE
940,9,40,morning,TRUE
941,9,41,morning,TRUE
942,9,42,morning,TRUE
943,9,43,morning,TRUE
944,9,44,morning,TRUE
945,9,45,morning,TRUE
946,9,46,morning,TRUE
947,9,47,morning,TRUE
948,9,48,morning,TRUE
949,9,49,morning,TRUE
950,9,50,morning,TRUE
951,9,51,morning,TRUE
952,9,52,morning,TRUE
953,9,53,morning,TRUE
954,9,54,morning,TRUE
955,9,55,morning,TRUE
956,9,56,morning,TRUE
957,9,57,morning,TRUE
958,9,58,morning,TRUE
959,9,59,morning,TRUE
1000,10,0,morning,TRUE
1001,10,1,morning,TRUE
1002,10,2,morning,TRUE
1003,10,3,morning,TRUE
1004,10,4,morning,TRUE
1005,10,5,morning,TRUE
1006,10,6,morning,TRUE
1007,10,7,morning,TRUE
1008,10,8,morning,TRUE
1009,10,9,morning,TRUE
1010,10,10,morning,TRUE
1011,10,11,morning,TRUE
1012,10,12,morning,TRUE
1013,10,13,morning,TRUE
1014,10,14,morning,TRUE
1015,10,15,morning,TRUE
1016,10,16,morning,TRUE
1017,10,17,morning,TRUE
1018,10,18,morning,TRUE
1019,10,19,morning,TRUE
1020,10,20,morning,TRUE
1021,10,21,morning,TRUE
1022,10,22,morning,TRUE
1023,10,23,morning,TRUE
1024,10,24,morning,TRUE
1025,10,25,morning,TRUE
1026,10,26,morning,TRUE
1027,10,27,morning,TRUE
1028,10,28,morning,TRUE
1029,10,29,morning,TRUE
1030,10,30,morning,TRUE
1031,10,31,morning,TRUE
1032,10,32,morning,TRUE
1033,10,33,morning,TRUE
1034,10,34,morning,TRUE
1035,10,35,morning,TRUE
1036,10,36,morning,TRUE
1037,10,37,morning,TRUE
1038,10,38,morning,TRUE
1039,10,39,morning,TRUE
1040,10,40,morning,TRUE
1041,10,41,morning,TRUE
1042,10,42,morning,TRUE
1043,10,43,morning,TRUE
1044,10,44,morning,TRUE
1045,10,45,morning,TRUE
1046,10,46,morning,TRUE
1047,10,47,morning,TRUE
1048,10,48,morning,TRUE
1049,10,49,morning,TRUE
1050,10,50,morning,TRUE
1051,10,51,morning,TRUE
1052,10,52,morning,TRUE
1053,10,53,morning,TRUE
1054,10,54,morning,TRUE
1055,10,55,morning,TRUE
1056,10,56,morning,TRUE
1057,10,57,morning,TRUE
1058,10,58,morning,TRUE
1059,10,59,morning,TRUE
1100,11,0,morning,TRUE
1101,11,1,morning,TRUE
1102,11,2,morning,TRUE
1103,11,3,morning,TRUE
1104,11,4,morning,TRUE
1105,11,5,morning,TRUE
1106,11,6,morning,TRUE
1107,11,7,morning,TRUE
1108,11,8,morning,TRUE
1109,11,9,morning,TRUE
1110,11,10,morning,TRUE
1111,11,11,morning,TRUE
1112,11,12,morning,TRUE
1113,11,13,morning,TRUE
1114,11,14,morning,TRUE
1115,11,15,morning,TRUE
1116,11,16,morning,TRUE
1117,11,17,morning,TRUE
1118,11,18,morning,TRUE
1119,11,19,morning,TRUE
1120,11,20,morning,TRUE
1121,11,21,morning,TRUE
1122,11,22,morning,TRUE
1123,11,23,morning,TRUE
1124,11,24,morning,TRUE
1125,11,25,morning,TRUE
1126,11,26,morning,TRUE
1127,11,27,morning,TRUE
1128,11,28,morning,TRUE
1129,11,29,morning,TRUE
1130,11,30,morning,TRUE
1131,11,31,morning,TRUE
1132,11,32,morning,TRUE
1133,11,33,morning,TRUE
1134,11,34,morning,TRUE
1135,11,35,morning,TRUE
1136,11,36,morning,TRUE
1137,11,37,morning,TRUE
1138,11,38,morning,TRUE
1139,11,39,morning,TRUE
1140,11,40,morning,TRUE
1141,11,41,morning,TRUE
1142,11,42,morning,TRUE
1143,11,43,morning,TRUE
1144,11,44,morning,TRUE
1145,11,45,morning,TRUE
1146,11,46,morning,TRUE
1147,11,47,morning,TRUE
1148,11,48,morning,TRUE
1149,11,49,morning,TRUE
1150,11,50,morning,TRUE
1151,11,51,morning,TRUE
1152,11,52,morning,TRUE
1153,11,53,morning,TRUE
1154,11,54,morning,TRUE
1155,11,55,morning,TRUE
1156,11,56,morning,TRUE
1157,11,57,morning,TRUE
1158,11,58,morning,TRUE
1159,11,59,morning,TRUE
1200,12,0,afternoon,TRUE
1201,12,1,afternoon,TRUE
1202,12,2,afternoon,TRUE
1203,12,3,afternoon,TRUE
1204,12,4,afternoon,TRUE
1205,12,5,afternoon,TRUE
1206,12,6,afternoon,TRUE
1207,12,7,afternoon,TRUE
1208,12,8,afternoon,TRUE
1209,12,9,afternoon,TRUE
1210,12,10,afternoon,TRUE
1211,12,11,afternoon,TRUE
1212,12,12,afternoon,TRUE
1213,12,13,afternoon,TRUE
1214,12,14,afternoon,TRUE
1215,12,15,afternoon,TRUE
1216,12,16,afternoon,TRUE
1217,12,17,afternoon,TRUE
1218,12,18,afternoon,TRUE
1219,12,19,afternoon,TRUE
1220,12,20,afternoon,TRUE
1221,12,21,afternoon,TRUE
1222,12,22,afternoon,TRUE
1223,12,23,afternoon,TRUE
1224,12,24,afternoon,TRUE
1225,12,25,afternoon,TRUE
1226,12,26,afternoon,TRUE
1227,12,27,afternoon,TRUE
1228,12,28,afternoon,TRUE
1229,12,29,afternoon,TRUE
1230,12,30,afternoon,TRUE
1231,12,31,afternoon,TRUE
1232,12,32,afternoon,TRUE
1233,12,33,afternoon,TRUE
1234,12,34,afternoon,TRUE
1235,12,35,afternoon,TRUE
1236,12,36,afternoon,TRUE
1237,12,37,afternoon,TRUE
1238,12,38,afternoon,TRUE
1239,12,39,afternoon,TRUE
1240,12,40,afternoon,TRUE
1241,12,41,afternoon,TRUE
1242,12,42,afternoon,TRUE
1243,12,43,afternoon,TRUE
1244,12,44,afternoon,TRUE
1245,12,45,afternoon,TRUE
1246,12,46,afternoon,TRUE
1247,12,47,afternoon,TRUE
1248,12,48,afternoon,TRUE
1249,12,49,afternoon,TRUE
